iter	Logloss
0	0.6435489989
1	0.6026804099
2	0.5687978368
3	0.5402153535
4	0.516228234
5	0.495503463
6	0.4779501824
7	0.4626737578
8	0.4496815783
9	0.4386391888
10	0.428929837
11	0.4203802234
12	0.4132666447
13	0.4071891786
14	0.401355581
15	0.3965717525
16	0.3923264882
17	0.3884849912
18	0.3852887677
19	0.3823094062
20	0.3797746825
21	0.3774910159
22	0.3755279807
23	0.3738143984
24	0.3724146719
25	0.3710527212
26	0.3697978862
27	0.3688291296
28	0.3679492655
29	0.3670515659
30	0.3664726497
31	0.3657773157
32	0.3652119161
33	0.3645980118
34	0.3640614313
35	0.3636286911
36	0.3631860978
37	0.3628382713
38	0.3624827282
39	0.3621913881
40	0.3619044127
41	0.3616526221
42	0.3614005118
43	0.3611751606
44	0.3610046082
45	0.3608267139
46	0.360635663
47	0.3604845361
48	0.3603778977
49	0.360238778
50	0.3601268728
51	0.3599921504
52	0.3598529451
53	0.3597496758
54	0.3596770636
55	0.3595859985
56	0.3595274729
57	0.3594249942
58	0.3593400073
59	0.3592424245
