iter	Passed	Remaining
0	1282	75679
1	1879	54494
2	2400	45600
3	2951	41316
4	3466	38136
5	4013	36120
6	4565	34567
7	5169	33604
8	5698	32292
9	6288	31440
10	6880	30651
11	7409	29638
12	8038	29062
13	8615	28306
14	9319	27958
15	10024	27567
16	10733	27149
17	11513	26864
18	12128	26172
19	12745	25490
20	13501	25073
21	14112	24376
22	14737	23708
23	15427	23141
24	16078	22509
25	16672	21802
26	17213	21038
27	17872	20425
28	18456	19729
29	19051	19051
30	19669	18400
31	20289	17753
32	20836	17047
33	21449	16402
34	22097	15784
35	22664	15109
36	23217	14432
37	23994	13891
38	25655	13814
39	26631	13315
40	27719	12845
41	29102	12472
42	30271	11967
43	31358	11403
44	32180	10726
45	32882	10007
46	33634	9303
47	34343	8585
48	35158	7892
49	35911	7182
50	36654	6468
51	37357	5747
52	38042	5024
53	38763	4307
54	39534	3594
55	40265	2876
56	40933	2154
57	41657	1436
58	42367	718
59	43049	0
