iter	Logloss
0	0.6436340676
1	0.602582972
2	0.568602859
3	0.5401091725
4	0.5160957798
5	0.4957570054
6	0.4783127957
7	0.4634520288
8	0.450461192
9	0.4393303906
10	0.4296779704
11	0.4212802833
12	0.4138611342
13	0.4074712211
14	0.4021064123
15	0.3972199188
16	0.3928995895
17	0.3891880766
18	0.3859953223
19	0.3831527469
20	0.3806731035
21	0.3783721812
22	0.3764377625
23	0.3746960505
24	0.3731745256
25	0.3720578586
26	0.3709226354
27	0.3698798527
28	0.3689304142
29	0.3681262571
30	0.3674733669
31	0.3667823437
32	0.366183697
33	0.3656982703
34	0.3652147403
35	0.3648336541
36	0.3644127037
37	0.3640832335
38	0.3637621963
39	0.3635039802
40	0.3632603959
41	0.3630469144
42	0.3628458652
43	0.3626831283
44	0.3625022853
45	0.3623613597
46	0.3622275534
47	0.3620755659
48	0.3619598852
49	0.3618403681
50	0.3617337569
51	0.3616184398
52	0.3615169349
53	0.361415546
54	0.3613089497
55	0.3612519355
56	0.3611820906
57	0.3611186624
58	0.3610667301
59	0.3610143558
