iter	Passed	Remaining
0	998	58899
1	1889	54787
2	2451	46577
3	2950	41301
4	3427	37705
5	3894	35047
6	4359	33006
7	4816	31308
8	5273	29883
9	5741	28708
10	6194	27591
11	6646	26585
12	7126	25764
13	7598	24965
14	8059	24178
15	8554	23525
16	9032	22846
17	9524	22223
18	9976	21529
19	10447	20895
20	10929	20297
21	11386	19667
22	11860	19080
23	12318	18477
24	12788	17904
25	13259	17339
26	13719	16768
27	14234	16267
28	14781	15800
29	15302	15302
30	15828	14807
31	16379	14332
32	16889	13818
33	17437	13334
34	17985	12847
35	18467	12311
36	19032	11830
37	19489	11283
38	19962	10748
39	20424	10212
40	20888	9679
41	21361	9155
42	21831	8631
43	22298	8108
44	22760	7586
45	23225	7068
46	23690	6552
47	24151	6037
48	24613	5525
49	25092	5018
50	25550	4508
51	26028	4004
52	26494	3499
53	26963	2995
54	27429	2493
55	27892	1992
56	28357	1492
57	28850	994
58	29319	496
59	29775	0
